date,time,bin00,bin01,bin02,bin03,bin04,bin05,bin06,bin07,bin08,bin09,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,SP(s),SFR(ml/s),T(C),RH(%),PM_A(ug/m^3),PM_B(ug/m^3),PM_C(ug/m^3),CSmatch
2025-01-06,08:30:35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.88,3.70,24.75,87.19,0.00,0.00,0.00,1
2025-01-06,08:30:45,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,3.73,25.13,86.93,0.06,0.06,0.06,1
2025-01-06,08:30:55,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,3.73,25.36,87.18,0.02,0.02,0.02,1
2025-01-06,08:31:05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,3.73,25.65,86.77,0.00,0.00,0.00,1
2025-01-06,08:31:15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,3.73,25.92,86.35,0.00,0.00,0.00,1
2025-01-06,08:31:25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,3.73,26.15,85.82,0.00,0.00,0.00,1
2025-01-06,08:31:35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,3.73,26.38,85.00,0.01,0.01,0.01,1
2025-01-06,08:31:45,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,3.73,26.56,84.22,0.01,0.01,0.01,1
2025-01-06,08:31:55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,3.73,26.78,83.50,0.00,0.00,0.00,1
2025-01-06,08:32:05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,3.73,26.93,82.79,0.00,0.00,0.00,1
2025-01-06,08:32:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,3.73,27.13,82.12,0.00,0.00,0.00,1
2025-01-06,08:32:26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,3.73,27.27,81.43,0.00,0.00,0.00,1
2025-01-06,08:32:36,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,4.50,27.40,80.77,0.02,0.02,0.02,1
2025-01-06,08:32:46,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,4.50,27.56,80.16,0.00,0.01,0.01,1
2025-01-06,08:32:56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,4.50,27.67,79.68,0.00,0.00,0.00,1
2025-01-06,08:33:06,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,4.88,27.81,79.18,0.02,0.02,0.02,1
2025-01-06,08:33:16,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,4.48,27.88,78.65,0.02,0.03,0.03,1
2025-01-06,08:33:26,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,4.48,28.01,78.24,0.05,0.05,0.05,1
2025-01-06,08:33:36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,4.48,28.10,77.92,0.00,0.00,0.00,1
2025-01-06,08:33:46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,4.48,28.22,77.59,0.00,0.00,0.00,1
2025-01-06,08:33:56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,4.48,28.31,77.18,0.00,0.00,0.00,1
2025-01-06,08:34:06,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,4.55,28.42,76.74,0.01,0.01,0.01,1
2025-01-06,08:34:16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,4.55,28.48,76.39,0.00,0.00,0.00,1
2025-01-06,08:34:26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,4.55,28.55,76.36,0.00,0.00,0.00,1
2025-01-06,08:34:36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,4.55,28.62,76.25,0.00,0.00,0.00,1
2025-01-06,08:34:46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,4.55,28.66,76.12,0.00,0.00,0.00,1
2025-01-06,08:34:56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,4.55,28.75,75.88,0.00,0.00,0.00,1
2025-01-06,08:35:06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,4.55,28.82,75.67,0.00,0.00,0.00,1
2025-01-06,08:35:16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,4.55,28.90,75.37,0.00,0.00,0.00,1
2025-01-06,08:35:26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,4.55,28.99,75.36,0.00,0.00,0.00,1
2025-01-06,08:35:36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,4.55,29.06,75.07,0.00,0.00,0.00,1
2025-01-06,08:35:46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,4.55,29.12,74.76,0.00,0.00,0.00,1
2025-01-06,08:35:56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,4.55,29.22,74.56,0.00,0.00,0.00,1
2025-01-06,08:36:06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,4.55,29.26,74.44,0.00,0.00,0.00,1
2025-01-06,08:36:16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,4.55,29.37,74.41,0.00,0.00,0.00,1
2025-01-06,08:36:26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,4.55,29.43,74.12,0.00,0.00,0.00,1
