date,time,bin00,bin01,bin02,bin03,bin04,bin05,bin06,bin07,bin08,bin09,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,SP(s),SFR(ml/s),T(C),RH(%),PM_A(ug/m^3),PM_B(ug/m^3),PM_C(ug/m^3),CSmatch
2025-01-07,07:14:05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.92,3.70,28.18,77.27,0.00,0.00,0.00,1
2025-01-07,07:14:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,3.70,29.81,73.05,0.00,0.00,0.00,1
2025-01-07,07:14:25,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,3.70,29.90,71.83,0.02,0.02,0.02,1
2025-01-07,07:14:35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,3.70,30.08,72.38,0.00,0.00,0.00,1
2025-01-07,07:14:45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,3.70,30.25,72.07,0.02,0.03,0.03,1
2025-01-07,07:14:55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,3.70,30.44,71.37,0.00,0.00,0.00,1
2025-01-07,07:15:05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,3.70,30.59,70.52,0.00,0.00,0.00,1
2025-01-07,07:15:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,3.70,30.75,69.89,0.00,0.00,0.00,1
2025-01-07,07:15:25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,3.70,30.90,69.44,0.01,0.01,0.01,1
2025-01-07,07:15:35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,3.70,31.03,69.05,0.00,0.00,0.00,1
2025-01-07,07:15:45,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,3.70,31.20,68.95,0.01,0.01,0.01,1
2025-01-07,07:15:55,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,3.70,31.30,68.63,0.02,0.02,0.02,1
2025-01-07,07:16:05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,3.70,31.42,68.64,0.00,0.00,0.00,1
2025-01-07,07:16:16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,3.70,31.53,67.86,0.00,0.00,0.00,1
2025-01-07,07:16:26,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,3.70,31.62,67.20,0.01,0.55,18.36,1
2025-01-07,07:16:36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,3.70,31.76,66.85,0.00,0.00,0.00,1
