date,time,bin00,bin01,bin02,bin03,bin04,bin05,bin06,bin07,bin08,bin09,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,SP(s),SFR(ml/s),T(C),RH(%),PM_A(ug/m^3),PM_B(ug/m^3),PM_C(ug/m^3),CSmatch
2024-11-23,05:57:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.88,3.70,28.75,64.77,0.00,0.00,0.00,1
2024-11-23,05:57:40,11,5,1,0,3,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,5.38,29.13,64.54,0.14,1.14,8.76,1
2024-11-23,05:57:50,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,5.38,29.39,64.17,0.01,0.27,1.26,1
2024-11-23,05:58:00,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,5.38,29.68,62.54,0.02,0.02,0.02,1
2024-11-23,05:58:10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,5.38,29.96,61.35,0.01,0.01,0.01,1
2024-11-23,05:58:20,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,5.84,30.22,60.24,0.02,0.17,0.23,1
2024-11-23,05:58:30,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,5.84,30.51,59.05,0.02,0.09,0.10,1
2024-11-23,05:58:40,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,5.84,30.71,58.22,0.03,0.06,0.06,1
2024-11-23,05:58:50,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,6.20,30.92,57.53,0.01,0.01,0.01,1
2024-11-23,05:59:00,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,6.20,31.10,57.08,0.03,0.09,0.10,1
2024-11-23,05:59:10,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,5.90,31.30,56.77,0.01,0.01,0.01,1
2024-11-23,05:59:20,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,6.30,31.49,56.37,0.03,0.03,0.03,1
2024-11-23,05:59:30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,6.30,31.67,55.82,0.00,0.00,0.00,1
2024-11-23,05:59:40,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,6.30,31.81,55.37,0.01,0.01,0.01,1
2024-11-23,05:59:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,6.30,32.01,54.88,0.00,0.00,0.00,1
2024-11-23,06:00:00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,6.30,32.17,54.24,0.01,0.01,0.01,1
2024-11-23,06:00:10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,6.30,32.32,54.00,0.01,0.01,0.01,1
2024-11-23,06:00:20,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,6.30,32.47,54.07,0.03,0.38,0.70,1
2024-11-23,06:00:30,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,6.30,32.61,54.12,0.01,0.01,0.01,1
2024-11-23,06:00:40,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,6.30,32.77,53.82,0.04,0.25,0.32,1
2024-11-23,06:00:50,3,5,1,3,1,4,9,4,4,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4.99,6.14,32.92,53.57,0.17,4.40,45.01,1
2024-11-23,06:01:00,3,4,1,0,3,0,2,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,5.12,33.05,53.17,0.10,1.63,22.94,1
