date,time,SP(s),SFR(ml/s),T(C),RH(%),PM_A(ug/m^3),PM_B(ug/m^3),PM_C(ug/m^3)
2025-01-07,07:14:05,53.92,3.7,28.18,77.27,0.01,0,0
2025-01-07,07:14:15,4.99,3.7,29.81,73.05,0.03,0.07,0
2025-01-07,07:14:25,4.99,3.7,29.9,71.83,0.08,0,0.02
2025-01-07,07:14:35,4.99,3.7,30.08,72.38,0,0,0
2025-01-07,07:14:45,4.99,3.7,30.25,72.07,0,0,0.05
2025-01-07,07:14:55,4.99,3.7,30.44,71.37,0.01,0,0.02
2025-01-07,07:15:05,4.99,3.7,30.59,70.52,0,0,0.04
2025-01-07,07:15:15,4.99,3.7,30.75,69.89,0,0.02,0
2025-01-07,07:15:25,4.99,3.7,30.9,69.44,0.02,0,0
2025-01-07,07:15:35,4.99,3.7,31.03,69.05,0.01,0,0
2025-01-07,07:15:45,4.99,3.7,31.2,68.95,0.01,0.03,0
2025-01-07,07:15:55,4.99,3.7,31.3,68.63,0,0,0.04
2025-01-07,07:16:05,4.99,3.7,31.42,68.64,0,0.01,0.05
2025-01-07,07:16:16,4.99,3.7,31.53,67.86,0.04,0.01,0
2025-01-07,07:16:26,4.99,3.7,31.62,67.2,0.04,0.55,18.34
2025-01-07,07:16:36,4.99,3.7,31.76,66.85,0,0,0
2025-01-07,07:16:46,4.99,3.7,31.84,66.76,0.02,0.04,27.82
2025-01-07,07:16:56,4.99,3.7,31.94,66.52,0.03,0.33,37.48
2025-01-07,07:17:06,4.99,3.7,32.01,66.39,0.04,1.66,94.18
2025-01-07,07:17:16,4.99,3.7,32.11,66.57,0,0.73,75.32
2025-01-07,07:17:26,4.99,3.7,32.19,66.64,0.06,0,32.47
2025-01-07,07:17:36,4.99,3.7,32.28,65.82,0.03,2.13,301.35
2025-01-07,07:17:46,4.99,3.7,32.37,65.81,0.01,1.58,154.89
2025-01-07,07:17:56,4.99,3.7,32.43,65.38,0.08,2.79,118.66
2025-01-07,07:18:06,4.99,3.7,32.5,65.23,0.07,2.88,150.5
2025-01-07,07:18:16,4.99,3.7,32.57,65.19,0.02,3.46,178.41
2025-01-07,07:18:26,4.99,3.7,32.64,64.58,0.02,3.12,196.43
2025-01-07,07:18:36,4.99,3.7,32.73,63.96,0,3.17,511.64
2025-01-07,07:18:46,4.99,3.7,32.75,63.73,0,6.6,337.99
2025-01-07,07:18:56,4.99,3.7,32.81,63.92,0,2.51,157.85
2025-01-07,07:19:06,4.99,3.7,32.91,64.21,0.02,1.81,149.87
2025-01-07,07:19:16,4.99,3.7,32.97,63.43,0.02,5.04,100.4
2025-01-07,07:19:26,4.99,10.38,33.04,62.43,0,1.3,33.69
2025-01-07,07:19:36,4.99,10.38,33.07,62.49,0.01,0.23,16.87
2025-01-07,07:19:46,4.99,10.38,33.14,62.43,0.01,1.62,53.32
2025-01-07,07:19:56,4.99,11.64,33.21,62.36,0,0.47,29.3
2025-01-07,07:20:06,4.99,11.64,33.26,62.11,0.03,1.18,79.9
2025-01-07,07:20:16,4.99,11.64,33.31,61.78,0.03,1.77,76.53
2025-01-07,07:20:26,4.99,11.64,33.36,61.19,0,0.63,117.59
2025-01-07,07:20:36,4.99,11.64,33.41,61.17,0,0.99,46.47
2025-01-07,07:20:46,4.99,11.64,33.48,61.78,0.05,0.31,125.87
2025-01-07,07:20:56,4.99,11.64,33.49,61.79,0.02,0.61,42.68
2025-01-07,07:21:06,4.99,11.64,33.55,61.58,0.08,1.47,32.42
2025-01-07,07:21:16,4.99,11.64,33.61,61.09,0,0.23,6.96
2025-01-07,07:21:26,4.99,11.64,33.63,61.15,0,0.72,18.29
2025-01-07,07:21:36,4.99,11.64,33.72,61.29,0.04,0.83,23.26
2025-01-07,07:21:46,4.99,11.64,33.73,60.76,0,0.69,49.67
2025-01-07,07:21:56,4.99,11.64,33.79,60.81,0,0.64,13.34
2025-01-07,07:22:06,4.99,11.64,33.83,60.71,0.01,0.86,17.22
2025-01-07,07:22:16,4.99,11.64,33.85,60.22,0,0.02,11.01
2025-01-07,07:22:26,4.99,11.64,33.93,60.34,0.03,0.96,26.11
2025-01-07,07:22:36,4.99,11.64,33.96,60.64,0,0.06,0.03
2025-01-07,07:22:46,4.99,11.64,33.97,60.83,0,0.49,61.26
2025-01-07,07:22:56,4.99,11.64,34.02,60.52,0.05,0.49,9.94
2025-01-07,07:23:06,4.99,11.64,34.07,60.01,0.02,0.78,36.06
2025-01-07,07:23:16,4.99,11.64,34.1,59.46,0,0.13,16.01
2025-01-07,07:23:26,4.99,11.64,34.15,59.04,0,0.34,13.47
2025-01-07,07:23:36,4.99,11.64,34.17,59.15,0,1.07,53.92
2025-01-07,07:23:46,4.99,11.64,34.23,59.22,0,0.25,54.93
2025-01-07,07:23:56,4.99,11.64,34.26,59.63,0.06,0.71,4.84
2025-01-07,07:24:06,4.99,11.64,34.26,59.61,0,0,0
2025-01-07,07:24:16,4.99,11.64,34.33,59.42,0.01,0.22,23.45
2025-01-07,07:24:26,4.99,11.64,34.38,59.15,0,0.78,153.09
2025-01-07,07:24:36,4.99,11.64,34.38,58.24,0,0.78,60.17
2025-01-07,07:24:46,4.99,11.64,34.42,58.23,0.07,0.73,9.47
2025-01-07,07:24:56,4.99,11.64,34.43,58.76,0,0.26,6.45
2025-01-07,07:25:06,4.99,11.64,34.47,58.24,0.02,0.2,73.58
2025-01-07,07:25:16,4.99,11.64,34.5,58.34,0,0.41,104.45
2025-01-07,07:25:26,4.99,11.64,34.54,58.69,0,0.79,103.47
2025-01-07,07:25:36,4.99,11.64,34.54,58.85,0,0.24,36.96
2025-01-07,07:25:46,4.99,11.64,34.57,58.34,0,1.42,45.1
2025-01-07,07:25:57,4.99,11.64,34.63,57.61,0,0.32,35.24
2025-01-07,07:26:07,4.99,11.64,34.6,58.19,0,0.32,22.32
2025-01-07,07:26:17,4.99,11.64,34.64,58.75,0,0.33,48.02
2025-01-07,07:26:27,4.99,11.64,34.67,58.04,0.05,0.24,115.24
2025-01-07,07:26:37,4.99,11.64,34.67,57.49,0,0.59,59.24
2025-01-07,07:26:47,4.99,11.64,34.71,56.86,0.02,0.15,37.71
2025-01-07,07:26:57,4.99,11.64,34.74,57.24,0.06,0.9,45.5
2025-01-07,07:27:07,4.99,11.64,34.75,56.73,0,0.69,43.88
2025-01-07,07:27:17,4.99,11.64,34.79,56.5,0.03,1.2,14.53
2025-01-07,07:27:27,4.99,11.64,34.8,56.32,0,0.45,27.68
2025-01-07,07:27:37,4.99,11.89,34.8,56.31,0.04,1.11,39.76
2025-01-07,07:27:47,4.99,11.99,34.84,56.19,0,0.42,2.45
2025-01-07,07:27:57,4.99,11.99,34.87,56.73,0.03,0.67,42.53
2025-01-07,07:28:07,4.99,11.99,34.89,57.26,0.02,0.01,5.01
2025-01-07,07:28:17,4.99,11.99,34.91,57.02,0,0.19,22.3
2025-01-07,07:28:27,4.99,11.99,34.93,56.86,0,0.25,39.24
