date,time,SP(s),SFR(ml/s),T(C),RH(%),PM_A(ug/m^3),PM_B(ug/m^3),PM_C(ug/m^3)
2025-01-06,08:30:35,5.88,3.7,24.75,87.19,0,0.05,0.03
2025-01-06,08:30:45,4.99,3.73,25.13,86.93,0,0.07,0
2025-01-06,08:30:55,4.99,3.73,25.36,87.18,0.02,0.02,0
2025-01-06,08:31:05,4.99,3.73,25.65,86.77,0.04,0,0.02
2025-01-06,08:31:15,4.99,3.73,25.92,86.35,0.06,0.02,0
2025-01-06,08:31:25,4.99,3.73,26.15,85.82,0.03,0.07,0.07
2025-01-06,08:31:35,4.99,3.73,26.38,85,0.06,0.04,0.02
2025-01-06,08:31:45,4.99,3.73,26.56,84.22,0,0,0
2025-01-06,08:31:55,4.99,3.73,26.78,83.5,0.04,0.02,0
2025-01-06,08:32:05,4.99,3.73,26.93,82.79,0.03,0.04,0
2025-01-06,08:32:15,4.99,3.73,27.13,82.12,0,0,0
2025-01-06,08:32:26,4.99,3.73,27.27,81.43,0.01,0.04,0
2025-01-06,08:32:36,4.99,4.5,27.4,80.77,0,0,0.11
2025-01-06,08:32:46,4.99,4.5,27.56,80.16,0.01,0,0.02
2025-01-06,08:32:56,4.99,4.5,27.67,79.68,0.04,0,0
2025-01-06,08:33:06,4.99,4.88,27.81,79.18,0.02,0.09,0.07
2025-01-06,08:33:16,4.99,4.48,27.88,78.65,0,0.05,0.02
2025-01-06,08:33:26,4.99,4.48,28.01,78.24,0.04,0.05,0.05
2025-01-06,08:33:36,4.99,4.48,28.1,77.92,0,0.03,0
2025-01-06,08:33:46,4.99,4.48,28.22,77.59,0.03,0.03,0
2025-01-06,08:33:56,4.99,4.48,28.31,77.18,0,0,0
2025-01-06,08:34:06,4.99,4.55,28.42,76.74,0.01,0,0.03
2025-01-06,08:34:16,4.99,4.55,28.48,76.39,0,0,0
2025-01-06,08:34:26,4.99,4.55,28.55,76.36,0,0,0
2025-01-06,08:34:36,4.99,4.55,28.62,76.25,0.05,0.01,0
2025-01-06,08:34:46,4.99,4.55,28.66,76.12,0,0,0
2025-01-06,08:34:56,4.99,4.55,28.75,75.88,0.02,0.06,0.06
2025-01-06,08:35:06,4.99,4.55,28.82,75.67,0.08,0,0
2025-01-06,08:35:16,4.99,4.55,28.9,75.37,0.03,0.07,0
2025-01-06,08:35:26,4.99,4.55,28.99,75.36,0.08,0.03,0
2025-01-06,08:35:36,4.99,4.55,29.06,75.07,0,0,0.02
2025-01-06,08:35:46,4.99,4.55,29.12,74.76,0,0,0.02
2025-01-06,08:35:56,4.99,4.55,29.22,74.56,0.01,0.06,0.02
2025-01-06,08:36:06,4.99,4.55,29.26,74.44,0.03,0.03,0.11
2025-01-06,08:36:16,4.99,4.55,29.37,74.41,0.03,0,0
2025-01-06,08:36:26,4.99,4.55,29.43,74.12,0.02,0,0
