date,time,SP(s),SFR(ml/s),T(C),RH(%),PM_A(ug/m^3),PM_B(ug/m^3),PM_C(ug/m^3)
2025-01-06,12:39:09,5.88,3.7,39.23,54.16,0,0,0
2025-01-06,12:39:19,4.99,3.7,39.32,48.89,0.01,0.01,0
2025-01-06,12:39:30,4.99,3.7,39.33,46.01,0,0,0.01
2025-01-06,12:39:40,4.99,3.7,39.45,45.65,0.03,0,0
2025-01-06,12:39:50,4.99,3.7,39.53,45.73,0.01,0.01,0
2025-01-06,12:40:00,4.99,3.7,39.63,45.67,0,0,0
2025-01-06,12:40:10,4.99,3.7,39.7,45.94,0,0,0
2025-01-06,12:40:20,4.99,3.7,39.79,45.78,0,0.02,0.01
2025-01-06,12:40:30,4.99,3.7,39.85,46.12,0,0,0
2025-01-06,12:40:40,4.99,3.7,39.89,46.69,0,0.03,0
2025-01-06,12:40:50,4.99,3.7,39.95,47.46,0.01,0,0.04
2025-01-06,12:41:00,4.99,3.7,39.97,46.76,0.01,0.01,0.04
2025-01-06,12:41:10,4.99,3.7,40,47.32,0,0.02,0
2025-01-06,12:41:20,4.99,3.7,40.03,46.54,0,0.04,0
2025-01-06,12:41:30,4.99,3.7,40.07,46.75,0.02,0.03,0.02
2025-01-06,12:41:40,4.99,3.7,40.09,46.24,0,0,0
2025-01-06,12:41:50,4.99,3.7,40.14,45.16,0,0.03,0
2025-01-06,12:42:00,4.99,3.7,40.16,45.14,0.04,0,0
2025-01-06,12:42:10,4.99,3.7,40.17,45.61,0,0,0
2025-01-06,12:42:20,4.99,3.7,40.2,47.69,0,0,0
2025-01-06,12:42:30,4.99,3.7,40.23,48.42,0,0,0
2025-01-06,12:42:40,4.99,3.7,40.26,46.66,0,0.02,0
2025-01-06,12:42:50,4.99,3.7,40.29,45.34,0,0,0
2025-01-06,12:43:00,4.99,3.7,40.3,44.12,0.02,0.01,0
2025-01-06,12:43:10,4.99,3.7,40.34,43.46,0.02,0.26,0.37
2025-01-06,12:43:20,4.99,3.7,40.33,44.03,0.03,0.02,0
2025-01-06,12:43:30,4.99,3.7,40.37,43.8,0.02,0.01,0.03
2025-01-06,12:43:40,4.99,3.7,40.39,44.87,0.01,0.01,0
2025-01-06,12:43:50,4.99,3.7,40.43,45.62,0.01,0,0
2025-01-06,12:44:00,4.99,3.7,40.43,44.45,0.04,0.03,0.02
2025-01-06,12:44:10,4.99,3.7,40.47,43.76,0.03,0.03,0
2025-01-06,12:44:20,4.99,3.7,40.47,43.43,0,0,0.04
2025-01-06,12:44:30,4.99,3.7,40.51,43.28,0,0,0
2025-01-06,12:44:40,4.99,3.7,40.54,42.81,0,0,0
2025-01-06,12:44:50,4.99,3.7,40.54,42.96,0.02,0.03,0
2025-01-06,12:45:00,4.99,3.7,40.58,42.99,0,0.01,0
2025-01-06,12:45:10,4.99,3.7,40.57,42.91,0,0.02,0
2025-01-06,12:45:20,4.99,3.7,40.58,43.01,0,0,0
2025-01-06,12:45:30,4.99,3.7,40.61,42.64,0,0,0
2025-01-06,12:45:40,4.99,3.7,40.63,43.32,0,0.03,0.02
2025-01-06,12:45:50,4.99,3.7,40.65,42.51,0.02,0,0
2025-01-06,12:46:00,4.99,3.7,40.7,43.57,0,0,0
2025-01-06,12:46:10,4.99,3.7,40.71,43.68,0,0.03,0
2025-01-06,12:46:20,4.99,3.7,40.73,43.7,0,0,0.01
2025-01-06,12:46:30,4.99,3.7,40.73,43.92,0.02,0,0.05
2025-01-06,12:46:40,4.99,3.7,40.73,44.11,0,0,0
2025-01-06,12:46:50,4.99,3.7,40.77,43.92,0.01,0,0.04
2025-01-06,12:47:00,4.99,3.7,40.77,44.13,0.01,0.02,0
2025-01-06,12:47:10,4.99,3.7,40.8,42.78,0.01,0.01,0
2025-01-06,12:47:20,4.99,3.7,40.81,42.19,0.02,0.01,0
2025-01-06,12:47:30,4.99,3.7,40.84,41.82,0,0,0
2025-01-06,12:47:40,4.99,3.7,40.81,41.93,0,0,0.01
2025-01-06,12:47:50,4.99,3.7,40.84,41.49,0,0,0.01
2025-01-06,12:48:00,4.99,3.7,40.87,41.84,0.03,0.02,0
2025-01-06,12:48:10,4.99,6.95,40.9,41.96,0,0.02,0
2025-01-06,12:48:20,4.99,6.95,40.91,42.07,0,0.01,0
2025-01-06,12:48:30,4.99,6.95,40.88,42.5,0.04,0.06,0.09
2025-01-06,12:48:40,4.99,6.95,40.88,42.85,0,0,0
2025-01-06,12:48:50,4.99,6.95,40.91,43.87,0,0.01,0.01
2025-01-06,12:49:01,4.99,6.95,40.91,44.25,0,0,0
2025-01-06,12:49:11,4.99,6.95,40.9,42.37,0,0,0.02
2025-01-06,12:49:21,4.99,6.95,40.93,42.66,0,0,0.03
2025-01-06,12:49:31,4.99,6.95,40.93,42.35,0,0.01,0
2025-01-06,12:49:41,4.99,6.95,40.94,42.28,0,0,0.01
2025-01-06,12:49:51,4.99,6.95,40.96,42.18,0,0,0
2025-01-06,12:50:01,4.99,6.95,40.98,42.78,0.01,0.01,0
2025-01-06,12:50:11,4.99,6.95,40.96,42.09,0,0,0
2025-01-06,12:50:21,4.99,6.95,40.96,42,0.01,0,0
2025-01-06,12:50:31,4.99,6.95,40.96,41.76,0,0,0.02
2025-01-06,12:50:41,4.99,6.95,40.98,41.95,0.02,0,0
2025-01-06,12:50:51,4.99,6.95,40.96,41.94,0,0.01,0.02
2025-01-06,12:51:01,4.99,6.95,41,42.37,0.01,0.16,0.19
2025-01-06,12:51:11,4.99,6.95,40.98,42.55,0,0.02,0.02
2025-01-06,12:51:21,4.99,6.95,40.98,42.38,0,0.01,0.01
2025-01-06,12:51:31,4.99,6.95,40.98,43.05,0.02,0.02,0.02
2025-01-06,12:51:41,4.99,6.95,41.01,42.65,0,0,0
2025-01-06,12:51:51,4.99,6.95,41,42,0.02,0,0.01
2025-01-06,12:52:01,4.99,6.95,41,41.41,0.01,0,0.03
2025-01-06,12:52:11,4.99,7.62,41.04,41.36,0,0.16,0.15
2025-01-06,12:52:21,4.99,7.62,41.02,41.5,0,0,0
2025-01-06,12:52:31,4.99,7.62,41.04,41.42,0,0.04,0.01
2025-01-06,12:52:41,4.99,7.62,41.05,41.21,0.01,0.01,0
2025-01-06,12:52:51,4.99,7.62,41.05,41.25,0.01,0.03,0.02
2025-01-06,12:53:01,4.99,7.62,41.1,41.41,0.01,0,0.02
2025-01-06,12:53:11,4.99,7.62,41.08,41.82,0,0.02,0
2025-01-06,12:53:21,4.99,7.62,41.11,42.1,0,0.02,0.02
2025-01-06,12:53:31,4.99,7.62,41.08,41.94,0,0,0.02
2025-01-06,12:53:41,4.99,7.62,41.14,40.79,0,0,0.01
2025-01-06,12:53:51,4.99,7.62,41.12,41.11,0.01,0.01,0
2025-01-06,12:54:01,4.99,7.62,41.15,40.92,0.01,0,0
2025-01-06,12:54:11,4.99,7.62,41.18,41.5,0,0,0.03
2025-01-06,12:54:21,4.99,7.62,41.18,41.84,0,0.03,0.04
2025-01-06,12:54:31,4.99,7.62,41.18,41.69,0.01,0,0.01
2025-01-06,12:54:41,4.99,7.62,41.2,41.51,0.02,0.02,0.01
2025-01-06,12:54:51,4.99,7.62,41.25,41.56,0,0,0.01
2025-01-06,12:55:01,4.99,7.62,41.24,41.73,0.01,0,0
2025-01-06,12:55:11,4.99,7.62,41.25,41.77,0.02,0,0.02
2025-01-06,12:55:21,4.99,7.62,41.3,41.75,0,0,0.02
2025-01-06,12:55:31,4.99,7.62,41.31,41.56,0.01,0.14,1.89
2025-01-06,12:55:41,4.99,7.62,41.31,41.84,0.01,0,0
2025-01-06,12:55:51,4.99,7.62,41.34,42.21,0.04,0.01,0.03
2025-01-06,12:56:01,4.99,7.62,41.37,41.78,0,0.02,0.02
2025-01-06,12:56:11,4.99,7.62,41.4,42,0.01,0.07,0.02
2025-01-06,12:56:21,4.99,7.62,41.41,42.28,0.01,0.05,0.03
2025-01-06,12:56:31,4.99,7.62,41.44,42.05,0,0.03,0.04
2025-01-06,12:56:41,4.99,7.62,41.47,42.1,0.01,0.13,0.19
2025-01-06,12:56:51,4.99,7.62,41.49,41.82,0,0.01,0.02
2025-01-06,12:57:01,4.99,7.62,41.52,41.44,0.03,0,0
2025-01-06,12:57:11,4.99,7.62,41.55,41.38,0,0.01,0.02
2025-01-06,12:57:21,4.99,7.62,41.54,40.83,0.01,0.09,1.88
