date,time,SP(s),SFR(ml/s),T(C),RH(%),PM_A(ug/m^3),PM_B(ug/m^3),PM_C(ug/m^3)
2025-01-06,13:46:00,5.89,3.7,39.18,45.94,0,0.06,0.04
2025-01-06,13:46:10,4.99,3.7,39.52,44.43,0,0.02,0.04
2025-01-06,13:46:20,4.99,3.7,39.69,43.51,0.08,0.04,0
2025-01-06,13:46:30,4.99,3.7,39.87,42.15,0,0,0
2025-01-06,13:46:40,4.99,8.41,40.02,42.09,0,0.11,0.16
2025-01-06,13:46:50,4.99,8.41,40.2,42.78,0.05,0.16,0.19
2025-01-06,13:47:00,4.99,8.41,40.36,42.95,0,0,0.02
2025-01-06,13:47:10,4.99,8.41,40.51,42.31,0.08,0,0
2025-01-06,13:47:20,4.99,8.41,40.67,41.32,0,0,0.04
2025-01-06,13:47:30,4.99,8.41,40.8,41.35,0,0,0
2025-01-06,13:47:40,4.99,8.41,40.9,41.11,0,0,0.04
2025-01-06,13:47:50,4.99,8.41,41.04,40.96,0.02,0.02,0.08
2025-01-06,13:48:00,4.99,8.41,41.17,41.59,0.01,0.04,0
2025-01-06,13:48:10,4.99,7.62,41.22,41.83,0.01,0.21,0.18
2025-01-06,13:48:20,4.99,7.87,41.32,42.37,0,0,0
2025-01-06,13:48:30,4.99,7.87,41.44,42.26,0,0,0
2025-01-06,13:48:40,4.99,7.87,41.49,41.15,0,0.01,0.02
2025-01-06,13:48:51,4.99,7.87,41.56,43.07,0.05,0.05,0
2025-01-06,13:49:01,4.99,9.26,41.65,42.41,0.06,0.65,2.33
2025-01-06,13:49:11,4.99,9.26,41.72,42.54,0,0,0
2025-01-06,13:49:21,4.99,5.63,41.84,41.16,0.03,0.19,0.27
2025-01-06,13:49:31,4.99,5.63,41.92,42.31,0,0.02,0
2025-01-06,13:49:41,4.99,5.63,42.03,41.5,0,0,0.06
2025-01-06,13:49:51,4.99,5.63,42.12,41.06,0,0,0
2025-01-06,13:50:01,4.99,5.63,42.25,41.35,0.03,0,0
2025-01-06,13:50:11,4.99,5.63,42.38,42.9,0.01,0.12,0.09
2025-01-06,13:50:21,4.99,5.63,42.5,43.49,0,0,0
2025-01-06,13:50:31,4.99,5.82,42.67,42.62,0,0,0.03
2025-01-06,13:50:41,4.99,5.98,42.81,41.84,0,0,0.02
2025-01-06,13:50:51,4.99,6.75,42.98,40.98,0.05,0.08,0.01
2025-01-06,13:51:01,4.99,6.75,43.13,40.82,0.06,0,0.03
2025-01-06,13:51:11,4.99,6.75,43.33,41.48,0.02,0.07,0
2025-01-06,13:51:21,4.99,6.75,43.48,40.89,0.03,0,0
2025-01-06,13:51:31,4.99,6.75,43.67,40.36,0,0.15,0.18
2025-01-06,13:51:41,4.99,7.68,43.84,39.76,0.03,0,0
2025-01-06,13:51:51,4.99,7.68,44.02,38.51,0.07,0.01,0.04
2025-01-06,13:52:01,4.99,7.67,44.19,37.43,0,0,0.04
2025-01-06,13:52:11,4.99,7.67,44.35,37.4,0.01,0,0.07
2025-01-06,13:52:21,4.99,7.67,44.51,37.54,0,0.05,0
2025-01-06,13:52:31,4.99,7.67,44.69,38.45,0.04,0,0.03
2025-01-06,13:52:41,4.99,7.67,44.82,39.64,0,0.03,0.09
2025-01-06,13:52:51,4.99,7.67,44.99,38.69,0,0,0
2025-01-06,13:53:01,4.99,8.52,45.1,38.2,0.03,0.19,0.07
2025-01-06,13:53:11,4.99,8.52,45.25,38.59,0.06,0.04,0
2025-01-06,13:53:21,4.99,7.92,45.39,38.84,0.01,0.04,0.06
2025-01-06,13:53:31,4.99,8.09,45.5,38.88,0.05,0.04,0.04
2025-01-06,13:53:41,4.99,8.09,45.61,39.03,0,0,0
2025-01-06,13:53:51,4.99,8.09,45.75,37.41,0.05,0.03,0
2025-01-06,13:54:01,4.99,8.09,45.86,35.34,0,0,0.08
2025-01-06,13:54:11,4.99,8.09,45.94,36.64,0.03,0.05,0
2025-01-06,13:54:21,4.99,8.09,46.09,37.01,0.02,0.02,0
2025-01-06,13:54:31,4.99,8.09,46.17,37.73,0.03,0,0
2025-01-06,13:54:41,4.99,8.09,46.24,36.93,0,0.02,0.05
2025-01-06,13:54:51,4.99,8.24,46.37,35.53,0.02,0,0.03
2025-01-06,13:55:01,4.99,8.08,46.46,35.07,0.06,0.03,0
2025-01-06,13:55:11,4.99,8.08,46.57,36.15,0.04,0.01,0
2025-01-06,13:55:21,4.99,8.08,46.66,35.19,0.01,0,0
2025-01-06,13:55:31,4.99,8.08,46.76,34.67,0,0.04,0
2025-01-06,13:55:41,4.99,8.08,46.86,34.1,0.07,0.33,0.4
