date,time,SP(s),SFR(ml/s),T(C),RH(%),PM_A(ug/m^3),PM_B(ug/m^3),PM_C(ug/m^3)
2025-01-14,04:49:42,5.89,3.7,27.2,81.1,0,0,0
2025-01-14,04:49:52,4.99,3.7,27.58,81.71,0,0.04,0.01
2025-01-14,04:50:02,4.99,3.7,27.87,85.08,0,0,0
2025-01-14,04:50:12,4.99,3.7,28.11,85.67,0,0.74,242.14
2025-01-14,04:50:22,4.99,3.7,28.39,84.98,0.05,1.96,58.89
2025-01-14,04:50:32,4.99,3.7,28.62,83.83,0,1.79,20.47
2025-01-14,04:50:42,4.99,3.7,28.86,83.05,0,2.92,51.44
2025-01-14,04:50:52,4.99,3.7,29.06,82.26,0.06,0.02,27.75
2025-01-14,04:51:02,4.99,3.7,29.25,81.3,0.03,7.26,176.94
2025-01-14,04:51:13,4.99,3.7,29.44,80.55,0,5.04,108.12
2025-01-14,04:51:23,4.99,3.7,29.6,79.91,0,8.32,390.56
2025-01-14,04:51:33,4.99,3.7,29.76,79.26,0.01,2.3,153.35
2025-01-14,04:51:43,4.99,3.7,29.9,78.45,0.02,1.1,21.67
2025-01-14,04:51:53,4.99,3.7,30.04,77.65,0,0.99,23.74
2025-01-14,04:52:03,4.99,3.7,30.2,77.02,0.02,0.63,5.72
2025-01-14,04:52:13,4.99,3.7,30.3,76.43,0,3.74,45.64
2025-01-14,04:52:23,4.99,3.7,30.41,75.89,0.02,1.29,11.42
2025-01-14,04:52:33,4.99,3.7,30.55,75.43,0.01,8.26,208.03
2025-01-14,04:52:43,4.99,3.7,30.65,74.94,0,3.61,38.4
2025-01-14,04:52:53,4.99,3.7,30.72,74.53,0.05,2.83,58.95
2025-01-14,04:53:03,4.99,3.7,30.83,74.07,0.01,1.68,22.51
2025-01-14,04:53:13,4.99,3.7,30.95,73.68,0,1.87,16.11
2025-01-14,04:53:23,4.99,3.7,31,73.33,0,7.24,198.75
2025-01-14,04:53:33,4.99,3.7,31.1,73.07,0.02,4.4,76.87
2025-01-14,04:53:43,4.99,3.7,31.19,72.79,0,5.51,128.78
2025-01-14,04:53:53,4.99,3.7,31.26,72.54,0.03,4.81,85.83
2025-01-14,04:54:03,4.99,3.7,31.34,72.28,0.02,7.91,461.94
2025-01-14,04:54:13,4.99,3.7,31.42,72,0,3.83,1131.18
2025-01-14,04:54:23,4.99,3.7,31.47,71.84,0,1.95,1492.49
2025-01-14,04:54:33,4.99,3.7,31.54,71.71,0,2.17,1454.64
2025-01-14,04:54:43,4.99,3.7,31.62,71.57,0,2.61,1558.23
2025-01-14,04:54:53,4.99,3.7,31.67,71.33,0.03,4.16,1393.72
2025-01-14,04:55:03,4.99,3.7,31.73,71.11,0,7.08,428.85
2025-01-14,04:55:13,4.99,3.7,31.8,70.95,0,5.64,298.54
2025-01-14,04:55:23,4.99,3.7,31.86,70.8,0,3.5,135.75
2025-01-14,04:55:33,4.99,3.7,31.9,70.63,0.07,2.92,73.17
2025-01-14,04:55:43,4.99,3.7,31.96,70.46,0,2.83,282.54
2025-01-14,04:55:53,4.99,3.7,32.03,70.31,0,5.96,202.25
2025-01-14,04:56:03,4.99,3.7,32.09,70.12,0.02,3.16,31.01
2025-01-14,04:56:13,4.99,3.7,32.14,70,0,3.8,56.95
2025-01-14,04:56:23,4.99,3.7,32.2,69.91,0,6.2,42.11
2025-01-14,04:56:33,4.99,3.7,32.23,69.78,0.03,3.05,41.13
2025-01-14,04:56:43,4.99,3.7,32.27,69.64,0,5.58,100.53
2025-01-14,04:56:53,4.99,3.7,32.31,69.46,0.06,1.45,18.64
2025-01-14,04:57:03,4.99,3.7,32.38,69.29,0,1.65,40.01
2025-01-14,04:57:13,4.99,3.7,32.44,69.13,0.01,4.46,165.94
2025-01-14,04:57:23,4.99,3.7,32.45,68.94,0,3.95,158.84
2025-01-14,04:57:33,4.99,3.7,32.53,68.91,0,4.79,513.3
2025-01-14,04:57:43,4.99,3.7,32.55,68.82,0.01,4.74,250.89
2025-01-14,04:57:53,4.99,3.7,32.6,68.68,0.02,1.74,19.19
2025-01-14,04:58:03,4.99,3.7,32.63,68.55,0.02,5.27,64.4
2025-01-14,04:58:13,4.99,3.7,32.68,68.4,0.01,4.65,91.87
2025-01-14,04:58:23,4.99,3.7,32.68,68.22,0,5.9,129.38
2025-01-14,04:58:33,4.99,3.7,32.77,68.15,0.02,1.5,72.87
2025-01-14,04:58:43,4.99,3.7,32.81,68.1,0,2.8,255.29
2025-01-14,04:58:53,4.99,3.7,32.85,68.02,0,4.59,208.07
2025-01-14,04:59:03,4.99,3.7,32.89,68.03,0.05,6.83,305.43
2025-01-14,04:59:13,4.99,3.7,32.94,67.9,0,5.75,185.77
2025-01-14,04:59:23,4.99,3.7,32.99,67.84,0,2.78,56.61
2025-01-14,04:59:33,4.99,3.7,32.99,67.82,0.02,7.28,694.67
2025-01-14,04:59:43,4.99,3.7,33.07,67.8,0,4.27,309.9
2025-01-14,04:59:53,4.99,3.7,33.11,67.6,0.01,6.67,668.07
2025-01-14,05:00:03,4.99,3.7,33.14,67.5,0,6.21,227.35
2025-01-14,05:00:13,4.99,3.7,33.17,67.5,0.02,0.69,15
2025-01-14,05:00:23,4.99,3.7,33.21,67.46,0,0.69,69.22
2025-01-14,05:00:33,4.99,3.7,33.22,67.34,0,0.61,4.71
2025-01-14,05:00:44,4.99,3.7,33.25,67.3,0,1.83,29.74
2025-01-14,05:00:54,4.99,3.7,33.29,67.24,0,4.39,224.22
2025-01-14,05:01:04,4.99,3.7,33.33,67.08,0,5.57,147.06
2025-01-14,05:01:14,4.99,3.7,33.35,66.86,0.03,5.17,53.14
2025-01-14,05:01:24,4.99,3.7,33.39,66.83,0,2.26,18.91
2025-01-14,05:01:34,4.99,3.7,33.42,66.75,0,5.46,104.45
2025-01-14,05:01:44,4.99,3.7,33.45,66.67,0.02,8.22,609.19
2025-01-14,05:01:54,4.99,3.7,33.49,66.62,0.01,11.74,362.85
2025-01-14,05:02:04,4.99,3.7,33.49,66.33,0.01,6.31,148.88
2025-01-14,05:02:14,4.99,3.7,33.55,66.37,0.06,4.38,30
2025-01-14,05:02:24,4.99,3.7,33.56,66.14,0.02,0.35,1.76
2025-01-14,05:02:34,4.99,3.7,33.58,66.01,0,2.64,21.98
2025-01-14,05:02:44,4.99,3.7,33.62,66.02,0,0.05,0
2025-01-14,05:02:54,4.99,3.7,33.61,66.04,0.02,0,0
2025-01-14,05:03:04,4.99,3.7,33.65,66.08,0,2.26,26.3
2025-01-14,05:03:14,4.99,3.7,33.68,65.91,0,0.39,1.79
2025-01-14,05:03:24,4.99,3.7,33.68,65.84,0.02,1.22,10.44
2025-01-14,05:03:34,4.99,3.7,33.69,65.72,0.04,0.03,0
