date,time,SP(s),SFR(ml/s),T(C),RH(%),PM_A(ug/m^3),PM_B(ug/m^3),PM_C(ug/m^3)
2025-01-06,13:13:59,5.89,3.7,39.41,45.98,0,0,0
2025-01-06,13:14:09,4.99,3.7,39.72,42.59,0,0,0
2025-01-06,13:14:19,4.99,3.7,39.87,42.07,0.01,0,0
2025-01-06,13:14:29,4.99,4.61,40.11,42.14,0.01,0.04,0
2025-01-06,13:14:39,4.99,4.61,40.29,42.09,0,0.02,0
2025-01-06,13:14:49,4.99,4.61,40.44,42.44,0,0.01,0.01
2025-01-06,13:14:59,4.99,4.61,40.61,43.6,0,0,0.02
2025-01-06,13:15:09,4.99,4.61,40.74,45.66,0,0,0
2025-01-06,13:15:19,4.99,4.61,40.86,44.87,0.01,0,0.03
2025-01-06,13:15:29,4.99,4.61,41,43.35,0,0.02,0
2025-01-06,13:15:39,4.99,4.61,41.1,42.61,0.02,0.05,0
2025-01-06,13:15:49,4.99,4.61,41.18,42.28,0.01,0.03,0
2025-01-06,13:15:59,4.99,6.35,41.27,41.78,0.01,0,0
2025-01-06,13:16:09,4.99,6.35,41.35,42.57,0.01,0.02,0.02
2025-01-06,13:16:19,4.99,6.35,41.41,42.67,0.02,0,0
2025-01-06,13:16:29,4.99,6.35,41.48,42.34,0.01,0,0.01
2025-01-06,13:16:39,4.99,6.35,41.58,43.4,0.03,0.08,0.12
2025-01-06,13:16:49,4.99,7.07,41.68,44.59,0.01,0,0.03
2025-01-06,13:16:59,4.99,7.07,41.75,43.72,0.04,0.01,0
2025-01-06,13:17:09,4.99,7.53,41.82,42.75,0.03,0.04,0
2025-01-06,13:17:19,4.99,7.53,41.91,42.58,0,0,0.03
2025-01-06,13:17:29,4.99,7.53,41.99,42.15,0.01,0.06,0.03
2025-01-06,13:17:39,4.99,8.13,42.08,40.85,0.01,0,0
2025-01-06,13:17:49,4.99,8.13,42.15,40.61,0,0.01,0
2025-01-06,13:17:59,4.99,8.13,42.23,40,0,0,0.04
2025-01-06,13:18:09,4.99,8.13,42.3,40.53,0.04,0,0
2025-01-06,13:18:19,4.99,8.5,42.38,41.88,0,0.02,0.01
2025-01-06,13:18:29,4.99,8.5,42.46,42.33,0,0,0
2025-01-06,13:18:39,4.99,7.93,42.53,43.14,0,0,0
2025-01-06,13:18:49,4.99,7.93,42.63,41.54,0.02,0.06,0.03
2025-01-06,13:18:59,4.99,7.93,42.73,44.89,0,0,0
2025-01-06,13:19:09,4.99,7.93,42.8,44.86,0.01,0,0
2025-01-06,13:19:19,4.99,7.93,42.9,44.36,0,0.03,0.01
2025-01-06,13:19:29,4.99,7.93,43.03,44.74,0.01,0,0.01
2025-01-06,13:19:39,4.99,7.93,43.11,43.08,0,0.01,0.01
2025-01-06,13:19:49,4.99,7.6,43.22,40.31,0.02,0,0.04
2025-01-06,13:19:59,4.99,7.6,43.34,40.02,0,0,0
2025-01-06,13:20:09,4.99,7.6,43.45,39.8,0,0,0
2025-01-06,13:20:19,4.99,7.6,43.52,39.83,0.01,0,0
2025-01-06,13:20:30,4.99,7.6,43.62,39.37,0,0,0
2025-01-06,13:20:40,4.99,7.9,43.71,38.54,0.02,0.01,0.01
2025-01-06,13:20:50,4.99,7.9,43.83,38.52,0,0.06,0.04
2025-01-06,13:21:00,4.99,7.84,43.91,38.93,0,0,0.02
2025-01-06,13:21:10,4.99,7.84,43.98,38.72,0.03,0.19,1.84
2025-01-06,13:21:20,4.99,7.84,44.06,38.93,0.04,0.11,0.19
2025-01-06,13:21:30,4.99,7.84,44.14,38.28,0.02,0,0
2025-01-06,13:21:40,4.99,7.84,44.25,39.02,0,0,0.03
2025-01-06,13:21:50,4.99,7.67,44.35,39.51,0.02,0.03,0.03
2025-01-06,13:22:00,4.99,7.67,44.48,38.57,0.02,0,0
2025-01-06,13:22:10,4.99,7.67,44.55,38.62,0,0.02,0
2025-01-06,13:22:20,4.99,7.67,44.65,38.63,0.02,0,0.01
2025-01-06,13:22:30,4.99,7.67,44.78,38.09,0,0,0
2025-01-06,13:22:40,4.99,7.67,44.89,37.48,0.01,0.08,0.06
2025-01-06,13:22:50,4.99,7.67,45.03,38.04,0.01,0.01,0
