date,time,SP(s),SFR(ml/s),T(C),RH(%),PM_A(ug/m^3),PM_B(ug/m^3),PM_C(ug/m^3)
2024-11-23,05:57:30,5.88,3.7,28.75,64.77,0,0,0.02
2024-11-23,05:57:40,4.99,5.38,29.13,64.54,0.14,1.14,8.75
2024-11-23,05:57:50,4.99,5.38,29.39,64.17,0,0.26,1.22
2024-11-23,05:58:00,4.99,5.38,29.68,62.54,0.01,0.03,0.03
2024-11-23,05:58:10,4.99,5.38,29.96,61.35,0,0.02,0.02
2024-11-23,05:58:20,4.99,5.84,30.22,60.24,0.05,0.16,0.23
2024-11-23,05:58:30,4.99,5.84,30.51,59.05,0.08,0.1,0.1
2024-11-23,05:58:40,4.99,5.84,30.71,58.22,0.03,0.05,0.06
2024-11-23,05:58:50,4.99,6.2,30.92,57.53,0.03,0,0.01
2024-11-23,05:59:00,4.99,6.2,31.1,57.08,0.04,0.08,0.08
2024-11-23,05:59:10,4.99,5.9,31.3,56.77,0.04,0.02,0
2024-11-23,05:59:20,4.99,6.3,31.49,56.37,0.01,0.05,0.07
2024-11-23,05:59:30,4.99,6.3,31.67,55.82,0.03,0,0
2024-11-23,05:59:40,4.99,6.3,31.81,55.37,0.02,0.04,0
2024-11-23,05:59:50,4.99,6.3,32.01,54.88,0,0.02,0.01
2024-11-23,06:00:00,4.99,6.3,32.17,54.24,0,0.03,0
2024-11-23,06:00:10,4.99,6.3,32.32,54,0,0.03,0.01
2024-11-23,06:00:20,4.99,6.3,32.47,54.07,0.05,0.37,0.71
2024-11-23,06:00:30,4.99,6.3,32.61,54.12,0.04,0.02,0.05
2024-11-23,06:00:40,4.99,6.3,32.77,53.82,0.04,0.25,0.33
2024-11-23,06:00:50,4.99,6.14,32.92,53.57,0.17,4.39,44.99
2024-11-23,06:01:00,4.99,5.12,33.05,53.17,0.1,1.61,22.96
2024-11-23,06:01:10,4.99,5.12,33.18,52.75,0.04,0,0
2024-11-23,06:01:20,4.99,5.12,33.35,51.83,0.03,0.92,2.62
2024-11-23,06:01:30,4.99,5.27,33.49,51.33,0.06,0.61,1.29
2024-11-23,06:01:40,4.99,5.27,33.61,51.08,0.03,0.1,5.06
2024-11-23,06:01:50,4.99,5.27,33.75,50.9,0.04,0.16,0.28
2024-11-23,06:02:00,4.99,5.27,33.86,50.41,0,0.03,0.07
2024-11-23,06:02:10,4.99,5.38,33.97,50.01,0,0.02,0.02
2024-11-23,06:02:20,4.99,5.38,34.12,49.9,0.01,0.15,0.26
2024-11-23,06:02:30,4.99,5.38,34.23,49.64,0.01,0.03,0.02
2024-11-23,06:02:41,4.99,5.38,34.35,49.68,0.02,0.21,0.22
2024-11-23,06:02:51,4.99,5.38,34.49,49.82,0.03,0.27,0.59
2024-11-23,06:03:01,4.99,5.38,34.59,49.83,0.06,0.23,0.21
2024-11-23,06:03:11,4.99,5.38,34.7,49.3,0.07,0.27,0.38
2024-11-23,06:03:21,4.99,5.38,34.83,49.26,0.04,0.46,0.78
2024-11-23,06:03:31,4.99,5.57,34.95,49,0.04,0,0.07
2024-11-23,06:03:41,4.99,5.57,35.07,48.8,0.06,0.32,0.38
2024-11-23,06:03:51,4.99,5.57,35.18,48.48,0,0,0.02
2024-11-23,06:04:01,4.99,5.52,35.3,47.87,0.04,0.48,1.1
2024-11-23,06:04:11,4.99,5.52,35.41,47.76,0.06,0.63,1.9
2024-11-23,06:04:21,4.99,5.52,35.5,47.69,0.01,0.02,0
2024-11-23,06:04:31,4.99,5.18,35.61,47.38,0.07,0.36,0.47
2024-11-23,06:04:41,4.99,5.36,35.71,47.35,0.05,0.08,8.03
2024-11-23,06:04:51,4.99,5.36,35.81,47.24,0.03,0.25,0.4
2024-11-23,06:05:01,4.99,5.36,35.89,47.28,0,0.03,0.01
2024-11-23,06:05:11,4.99,5.36,35.99,47.22,0,0.2,2.67
2024-11-23,06:05:21,4.99,5.45,36.12,46.99,0.01,0.03,0.08
2024-11-23,06:05:31,4.99,5.34,36.21,46.7,0.07,0.3,0.35
2024-11-23,06:05:41,4.99,5.43,36.29,46.38,0.07,0.37,1.35
2024-11-23,06:05:51,4.99,5.48,36.38,46.09,0.03,0,0
2024-11-23,06:06:01,4.99,5.48,36.46,45.9,0,0.04,0
2024-11-23,06:06:11,4.99,5.48,36.59,45.65,0.06,0.08,0.11
2024-11-23,06:06:21,4.99,5.48,36.63,45.45,0.03,0.37,11.47
2024-11-23,06:06:31,4.99,5.48,36.75,45.47,0.04,0.08,0.12
2024-11-23,06:06:41,4.99,5.55,36.82,45.27,0.02,0.02,0.01
2024-11-23,06:06:51,4.99,5.55,36.9,45.03,0.04,0.12,0.09
2024-11-23,06:07:01,4.99,5.61,37,44.98,0.01,0.23,1.2
2024-11-23,06:07:11,4.99,5.61,37.08,44.37,0,0.03,0
2024-11-23,06:07:21,4.99,5.71,37.14,44.1,0.03,0.37,0.46
2024-11-23,06:07:31,4.99,5.73,37.23,44.09,0.03,0.35,0.66
2024-11-23,06:07:41,4.99,5.78,37.33,43.92,0.01,0.04,0.01
2024-11-23,06:07:51,4.99,5.8,37.37,43.73,0.05,0.06,0.07
2024-11-23,06:08:01,4.99,5.8,37.47,43.61,0,0,0
2024-11-23,06:08:11,4.99,5.71,37.55,43.71,0,0.89,11.96
2024-11-23,06:08:21,4.99,5.71,37.6,43.59,0,0.13,0.22
2024-11-23,06:08:31,4.99,5.71,37.68,43.41,0,0,0
2024-11-23,06:08:41,4.99,5.71,37.76,43.23,0.01,0,0
2024-11-23,06:08:51,4.99,5.7,37.81,43.03,0,0.29,0.59
2024-11-23,06:09:01,4.99,5.73,37.9,42.83,0.03,0.15,0.26
2024-11-23,06:09:11,4.99,5.76,37.95,42.72,0.02,0.14,2.5
2024-11-23,06:09:21,4.99,5.6,38.03,42.84,0.04,0.38,2.87
2024-11-23,06:09:31,4.99,5.6,38.08,42.94,0,0.34,2.76
2024-11-23,06:09:41,4.99,5.66,38.15,42.56,0.04,0.46,3.85
2024-11-23,06:09:51,4.99,5.66,38.24,42.4,0,0.06,0.01
2024-11-23,06:10:01,4.99,5.66,38.34,42.55,0.07,0.26,0.34
2024-11-23,06:10:11,4.99,5.72,38.37,42.76,0.05,0.54,10.48
2024-11-23,06:10:21,4.99,5.72,38.44,42.91,0.02,0.4,3.07
2024-11-23,06:10:31,4.99,5.72,38.53,42.61,0.04,0.05,0.02
2024-11-23,06:10:41,4.99,5.52,38.59,42.23,0.03,0,0
2024-11-23,06:10:51,4.99,5.57,38.62,41.6,0.02,0.12,4.82
2024-11-23,06:11:01,4.99,5.62,38.68,41.6,0.05,0,0
2024-11-23,06:11:11,4.99,5.62,38.78,41.48,0,0.24,1.18
2024-11-23,06:11:21,4.99,5.53,38.83,41.33,0.01,0.02,0
2024-11-23,06:11:31,4.99,5.53,38.91,41.48,0,0.26,0.52
2024-11-23,06:11:41,4.99,5.53,38.98,41.24,0.01,0,0.03
2024-11-23,06:11:51,4.99,5.53,39.04,40.96,0.03,0.02,0.02
2024-11-23,06:12:01,4.99,5.55,39.08,40.64,0.02,0.03,0.02
2024-11-23,06:12:11,4.99,5.55,39.15,40.5,0,0,0.01
2024-11-23,06:12:21,4.99,5.55,39.19,40.21,0.04,0.02,0.03
2024-11-23,06:12:31,4.99,5.46,39.28,40.2,0.05,0.08,0.11
2024-11-23,06:12:41,4.99,5.51,39.35,40.2,0.02,0.04,0.06
2024-11-23,06:12:51,4.99,5.51,39.38,40.43,0.02,0.17,0.26
2024-11-23,06:13:01,4.99,5.51,39.43,40.6,0.01,0,0.01
2024-11-23,06:13:11,4.99,5.51,39.51,40.58,0,0.01,0
2024-11-23,06:13:21,4.99,5.5,39.56,40.25,0,0,0.03
2024-11-23,06:13:31,4.99,5.26,39.6,40.2,0,0,0.03
2024-11-23,06:13:41,4.99,5.27,39.65,40.08,0.05,0.11,0.11
2024-11-23,06:13:51,4.99,5.27,39.73,39.87,0.06,0.12,0.11
2024-11-23,06:14:01,4.99,5.22,39.77,39.51,0.01,0,0.03
2024-11-23,06:14:12,4.99,5.09,39.83,39.2,0,0,0.01
2024-11-23,06:14:22,4.99,5.09,39.89,39,0.03,0.1,0.14
2024-11-23,06:14:32,4.99,5.09,39.92,38.92,0,0.01,0.05
2024-11-23,06:14:42,4.99,5.09,39.96,39.01,0.01,0.23,0.24
2024-11-23,06:14:52,4.99,5.09,40.06,39.3,0,0.07,0.06
2024-11-23,06:15:02,4.99,5.09,40.1,39.54,0,0.01,0
2024-11-23,06:15:12,4.99,5.09,40.16,39.13,0,0,0
2024-11-23,06:15:22,4.99,5.09,40.19,39.01,0.06,0.32,5.54
2024-11-23,06:15:32,4.99,5.09,40.24,38.6,0.04,0.04,0.02
2024-11-23,06:15:42,4.99,5.09,40.29,38.4,0.02,0,0.01
2024-11-23,06:15:52,4.99,5.09,40.31,38.66,0.03,0.01,0
2024-11-23,06:16:02,4.99,4.91,40.37,38.6,0.02,0.27,0.59
