01.04.2016,10:50:13,OL,26.1,OL.1,OL.2
01.04.2016,10:50:15,OL,26.0,OL,OL
01.04.2016,10:50:17,OL,26.4,OL,OL
01.04.2016,10:50:19,OL,25.9,OL,OL
01.04.2016,10:50:21,OL,26.1,OL,OL
01.04.2016,10:50:23,OL,26.2,OL,OL
01.04.2016,10:50:25,OL,26.1,OL,OL
01.04.2016,10:50:27,OL,26.2,OL,OL
01.04.2016,10:50:29,OL,26.2,OL,OL
01.04.2016,10:50:31,OL,25.7,OL,OL
01.04.2016,10:50:33,OL,26.4,OL,OL
01.04.2016,10:50:35,OL,26.3,OL,OL
01.04.2016,10:50:37,OL,26.3,OL,OL
01.04.2016,10:50:39,OL,26.3,OL,OL
01.04.2016,10:50:41,OL,26.6,OL,OL
01.04.2016,10:50:43,OL,26.6,OL,OL
01.04.2016,10:50:45,OL,26.8,OL,OL
01.04.2016,10:50:47,OL,26.9,OL,OL
01.04.2016,10:50:49,OL,26.8,OL,OL
01.04.2016,10:50:51,OL,26.8,OL,OL
01.04.2016,10:50:53,OL,26.7,OL,OL
01.04.2016,10:50:55,OL,27.1,OL,OL
01.04.2016,10:50:57,OL,26.9,OL,OL
01.04.2016,10:50:59,OL,26.8,OL,OL
01.04.2016,10:51:01,OL,27.0,OL,OL
01.04.2016,10:51:03,OL,27.2,OL,OL
01.04.2016,10:51:05,OL,27.3,OL,OL
01.04.2016,10:51:07,OL,27.1,OL,OL
01.04.2016,10:51:09,OL,27.3,OL,OL
01.04.2016,10:51:11,OL,27.6,OL,OL
01.04.2016,10:51:13,OL,27.6,OL,OL
01.04.2016,10:51:15,OL,27.5,OL,OL
01.04.2016,10:51:17,OL,28.4,OL,OL
01.04.2016,10:51:19,OL,28.1,OL,OL
01.04.2016,10:51:21,OL,28.3,OL,OL
01.04.2016,10:51:23,OL,29.3,OL,OL
01.04.2016,10:51:25,OL,28.8,OL,OL
01.04.2016,10:51:27,OL,28.8,OL,OL
01.04.2016,10:51:29,OL,29.7,OL,OL
01.04.2016,10:51:31,OL,30.7,OL,OL
01.04.2016,10:51:33,OL,32.8,OL,OL
01.04.2016,10:51:35,OL,37.2,OL,OL
01.04.2016,10:51:37,OL,39.1,OL,OL
01.04.2016,10:51:39,OL,39.9,OL,OL
